score_name,policy_label,usage_guidance,keep_fraction,abstain_fraction,mean_error_kept,kept_error_reduction_vs_full,kept_top20_true_error_fraction,top20_true_error_capture_fraction_in_abstained,aurc
local_uncertainty_risk_score,illustrative_light_review,示例审查预算：约 5% spot 进入快速人工复核,0.95,0.050000000000000044,0.5005849769956288,0.007014852501555424,0.19298245614035087,0.08333333333333333,0.44029409894383886
local_uncertainty_risk_score,illustrative_moderate_review,示例审查预算：约 10% spot 进入低成本补充质控,0.9,0.09999999999999998,0.49643767011070405,0.015241655797900155,0.18518518518518517,0.16666666666666666,0.44029409894383886
local_uncertainty_risk_score,illustrative_balanced_review,示例审查预算：约 20% spot 进入平衡复核,0.8,0.19999999999999996,0.48796370068347333,0.03205104115360469,0.17083333333333334,0.31666666666666665,0.44029409894383886
local_uncertainty_risk_score,illustrative_stringent_review,示例审查预算：约 30% spot 进入更保守下游分析前复核,0.7,0.30000000000000004,0.47663367421690683,0.05452584267399274,0.1488095238095238,0.4791666666666667,0.44029409894383886
reference_risk_score,illustrative_light_review,示例审查预算：约 5% spot 进入快速人工复核,0.95,0.050000000000000044,0.5014106616623285,0.005376983511817035,0.19649122807017544,0.06666666666666667,0.4566504704079279
reference_risk_score,illustrative_moderate_review,示例审查预算：约 10% spot 进入低成本补充质控,0.9,0.09999999999999998,0.5000067015518697,0.00816194830587258,0.1962962962962963,0.11666666666666667,0.4566504704079279
reference_risk_score,illustrative_balanced_review,示例审查预算：约 20% spot 进入平衡复核,0.8,0.19999999999999996,0.4928824522288008,0.02229396202977818,0.18541666666666667,0.25833333333333336,0.4566504704079279
reference_risk_score,illustrative_stringent_review,示例审查预算：约 30% spot 进入更保守下游分析前复核,0.7,0.30000000000000004,0.4841156450043329,0.039684234940334795,0.16785714285714284,0.4125,0.4566504704079279
risk_score,illustrative_light_review,示例审查预算：约 5% spot 进入快速人工复核,0.95,0.050000000000000044,0.5025671297748586,0.0030829560997478467,0.19736842105263158,0.0625,0.4577941610050786
risk_score,illustrative_moderate_review,示例审查预算：约 10% spot 进入低成本补充质控,0.9,0.09999999999999998,0.49722127095711727,0.013687266357918282,0.18981481481481483,0.14583333333333334,0.4577941610050786
risk_score,illustrative_balanced_review,示例审查预算：约 20% spot 进入平衡复核,0.8,0.19999999999999996,0.4909550300816353,0.026117292039762874,0.178125,0.2875,0.4577941610050786
risk_score,illustrative_stringent_review,示例审查预算：约 30% spot 进入更保守下游分析前复核,0.7,0.30000000000000004,0.48653169560788584,0.034891637329173,0.1761904761904762,0.38333333333333336,0.4577941610050786
