score_name,n_spots,error_col,spearman_error,spearman_pvalue,pearson_error,pearson_pvalue,auroc_top20_error,average_precision_top20_error,auroc_top10_error,average_precision_top10_error,bottom20_score_mean_error,top20_score_mean_error,top_minus_bottom20_error
abundance_entropy_risk,1200,total_variation_error,0.4606142520875749,4.597434750821999e-64,0.47656991230195656,4.6002067126137425e-69,0.6820920138888891,0.39119008688077883,0.6406095679012346,0.2372577139231333,0.3854750431074446,0.6007664062047875,0.21529136309734287
local_uncertainty_risk_score,1200,total_variation_error,0.3563596777543977,3.0069723012602898e-37,0.3601890725128412,4.5144584942841013e-38,0.6640798611111112,0.29984333392002105,0.6563734567901235,0.15972232152417382,0.4028631970287402,0.5687517655351095,0.16588856850636935
phi_uncertainty,1200,total_variation_error,0.4150706388201538,3.5794868863390024e-51,0.4232513718769752,2.404475711067385e-53,0.6633072916666667,0.36659950127858926,0.6265895061728395,0.21736451790013045,0.3919626662832665,0.5946560242663315,0.20269335798306498
inverse_max_abundance,1200,total_variation_error,0.3395106663378214,9.319907261512424e-34,0.34767176598976385,2.0183261204423292e-35,0.6324305555555555,0.3245875289061103,0.6020293209876543,0.18066042766231333,0.4187705450711731,0.5782123483589895,0.15944180328781637
snrna_marker_discordance,1200,total_variation_error,0.26762456231188864,3.957760518847848e-21,0.260425914969591,4.698979159492744e-20,0.6281163194444445,0.29388540004158714,0.6266589506172839,0.15881675456705896,0.44250395037347523,0.5637646111367781,0.12126066076330289
risk_score,1200,total_variation_error,0.25305506802389643,5.473369633911123e-19,0.25949661981356803,6.431620046834407e-20,0.6191883680555555,0.25872584229447126,0.6047916666666667,0.12945223685754337,0.42348992288799336,0.5567864479424617,0.13329652505446832
reference_risk_score,1200,total_variation_error,0.273914497498936,4.279100710624963e-22,0.28597794113455216,5.0869747121691036e-24,0.6123784722222222,0.2635928505554922,0.5815200617283951,0.1286994055390644,0.4286611556401765,0.5490767593537996,0.12041560371362314
inverse_top1_margin,1200,total_variation_error,0.16018058969880847,2.4177104644478142e-08,0.19180297426818466,2.0896020748902052e-11,0.5608767361111111,0.23019732074621138,0.5472916666666666,0.1164242436144138,0.45166160697989566,0.5395528737282346,0.08789126674833891
phi_local,1200,total_variation_error,0.025367098997633487,0.37996131926450066,0.0051375167544405395,0.8588922198466601,0.5458940972222222,0.2170064654234768,0.5760262345679013,0.11734329676629059,0.48661834728043385,0.5140284358925953,0.027410088612161432
phi_reference,1200,total_variation_error,0.021177447772538716,0.46360358783787275,0.0030994420772561433,0.9145857428321075,0.5157335069444443,0.1967620904124509,0.5064429012345679,0.09614798696804944,0.48147478134841865,0.4969567296256832,0.015481948277264568
snrna_signature_residual,1200,total_variation_error,-0.2657067268038126,7.708291779883184e-21,-0.2813760171199574,2.8315390479078383e-23,0.39338107638888886,0.1594677209325231,0.4085185185185185,0.08172925000713574,0.560072798337405,0.4257622434447844,-0.13431055489262056
