score_name,n_spots,features_used,n_features_used,spearman_error,spearman_pvalue,pearson_error,pearson_pvalue,auroc_top20_error,average_precision_top20_error,auroc_top10_error,average_precision_top10_error,bottom20_score_mean_error,top20_score_mean_error,top_minus_bottom20_error
local_uncertainty,1200,phi_local+phi_uncertainty,2,0.35636010545767244,3.0063398787949302e-37,0.3601890725128412,4.5144584942841013e-38,0.6640798611111112,0.29984333392002105,0.6563734567901235,0.15972232152417382,0.4028631970287401,0.5687517655351095,0.1658885685063694
leave_out_reference,1200,phi_local+phi_uncertainty,2,0.35636010545767244,3.0063398787949302e-37,0.3601890725128412,4.5144584942841013e-38,0.6640798611111112,0.29984333392002105,0.6563734567901235,0.15972232152417382,0.4028631970287401,0.5687517655351095,0.1658885685063694
uncertainty_only,1200,phi_uncertainty,1,0.41507124370921294,3.578181206353297e-51,0.42462830352571157,1.0218088805729892e-53,0.6633072916666667,0.36659950127858926,0.6265895061728395,0.21736451790013045,0.3919626662832665,0.5946560242663315,0.20269335798306498
full_risk,1200,phi_local+phi_uncertainty+phi_reference,3,0.2530558288821374,5.472004874654673e-19,0.25949661981356803,6.431620046834407e-20,0.6191883680555555,0.25872584229447126,0.6047916666666667,0.12945223685754337,0.42348992288799336,0.5567864479424617,0.13329652505446832
uncertainty_reference,1200,phi_uncertainty+phi_reference,2,0.27391526186562387,4.277928806729542e-22,0.2859779411345521,5.086974712169529e-24,0.6123784722222222,0.2635928505554922,0.5815200617283951,0.1286994055390644,0.42866115564017643,0.5490767593537996,0.1204156037136232
leave_out_local,1200,phi_uncertainty+phi_reference,2,0.27391526186562387,4.277928806729542e-22,0.2859779411345521,5.086974712169529e-24,0.6123784722222222,0.2635928505554922,0.5815200617283951,0.1286994055390644,0.42866115564017643,0.5490767593537996,0.1204156037136232
local_only,1200,phi_local,1,0.02536793932192721,0.3799455305803261,0.023326300426208705,0.4194853270753019,0.5458940972222222,0.2170064654234768,0.5760262345679013,0.11734329676629059,0.48661834728043385,0.5140284358925953,0.027410088612161432
local_reference,1200,phi_local+phi_reference,2,0.024502013159639083,0.3964282932875591,0.01961687433820198,0.49719768698121686,0.5379817708333333,0.20788732395087844,0.5474845679012346,0.10552058574056389,0.4827357713962733,0.5125671939788494,0.029831422582576095
leave_out_uncertainty,1200,phi_local+phi_reference,2,0.024502013159639083,0.3964282932875591,0.01961687433820198,0.49719768698121686,0.5379817708333333,0.20788732395087844,0.5474845679012346,0.10552058574056389,0.4827357713962733,0.5125671939788494,0.029831422582576095
reference_only,1200,phi_reference,1,0.021178107533471196,0.46358965756331844,0.015823748595997604,0.5839571455300827,0.5157335069444443,0.1967620904124509,0.5064429012345679,0.09614798696804944,0.48147478134841865,0.49695672962568316,0.015481948277264512
